seed,corruption_magnitude,score,roc_auc,average_precision,precision_at_k,rare_clean_fraction_in_top_k,rare_clean_share_of_false_alarms,k,gamma,location_shrink,scale_mix
16,3.0,local_ridge_geometry,0.9943412122697082,0.9328283528245008,0.8691437802907916,0.0177705977382875,0.1358024691358024,32.0,0.0,0.5,0.75
17,3.0,global,0.9958599471680444,0.9370841000471458,0.9079159935379644,0.0177705977382875,0.1929824561403508,,,,
17,3.0,local_euclidean,0.994190833084085,0.9232687531137016,0.8562197092084006,0.0145395799676898,0.1011235955056179,32.0,0.0,0.5,0.75
17,3.0,local_ridge_geometry,0.9925768659412256,0.9063748484083252,0.8222940226171244,0.024232633279483,0.1363636363636363,64.0,0.0,0.75,1.0
18,3.0,global,0.9971353239521074,0.962654364435183,0.9127625201938612,0.011308562197092,0.1296296296296296,,,,
18,3.0,local_euclidean,0.995096784660564,0.9194895851277084,0.8626817447495961,0.0145395799676898,0.1058823529411764,128.0,0.0,0.5,1.0
18,3.0,local_ridge_geometry,0.9959892163418056,0.9409500161233172,0.8836833602584814,0.0080775444264943,0.0694444444444444,64.0,0.0,0.5,0.75
19,3.0,global,0.9970209978204506,0.9469086086330032,0.91437802907916,0.0145395799676898,0.1698113207547169,,,,
19,3.0,local_euclidean,0.9960483955323624,0.943724604944358,0.877221324717286,0.0016155088852988,0.0131578947368421,32.0,0.25,0.5,0.75
19,3.0,local_ridge_geometry,0.9959823377986148,0.9521268120195108,0.8804523424878837,0.0016155088852988,0.0135135135135135,32.0,0.25,0.5,0.75
2,3.0,global,0.9977039897210846,0.9478088581225124,0.91437802907916,0.0161550888529886,0.1886792452830188,,,,
2,3.0,local_euclidean,0.9962060090478934,0.934986185502952,0.8594507269789984,0.0129240710823909,0.0919540229885057,32.0,0.0,0.5,0.75
2,3.0,local_ridge_geometry,0.9967436027769392,0.9510105365707362,0.8966074313408724,0.0064620355411954,0.0625,64.0,0.0,0.5,0.75
3,3.0,global,0.997330413668472,0.943998512424252,0.9127625201938612,0.0096930533117932,0.1111111111111111,,,,
3,3.0,local_euclidean,0.9960336896814026,0.9379087277614524,0.8885298869143781,0.0129240710823909,0.1159420289855072,128.0,0.0,0.5,0.75
3,3.0,local_ridge_geometry,0.9948584075603256,0.9298183488141306,0.8739903069466882,0.0,0.0,128.0,0.25,0.5,1.0
4,3.0,global,0.9953803466738332,0.9536535300278236,0.9127625201938612,0.011308562197092,0.1296296296296296,,,,
4,3.0,local_euclidean,0.9943067009581812,0.938351652869869,0.8691437802907916,0.0,0.0,64.0,0.25,0.5,0.75
4,3.0,local_ridge_geometry,0.9939034760125038,0.9429467500548548,0.8675282714054927,0.0016155088852988,0.0121951219512195,32.0,0.25,0.5,0.75
5,3.0,global,0.9966933182543016,0.9299515415138554,0.91437802907916,0.0193861066235864,0.2264150943396226,,,,
5,3.0,local_euclidean,0.994280016954423,0.917691987157258,0.8481421647819063,0.0145395799676898,0.0957446808510638,32.0,0.0,0.5,0.75
5,3.0,local_ridge_geometry,0.99467849807721,0.923750414498449,0.877221324717286,0.0177705977382875,0.1447368421052631,64.0,0.0,0.5,0.75
6,3.0,global,0.9978227038889148,0.944478000974168,0.9159935379644588,0.0145395799676898,0.173076923076923,,,,
6,3.0,local_euclidean,0.9955736574566136,0.9231802372582448,0.8497576736672051,0.0032310177705977,0.021505376344086,64.0,0.25,0.75,1.0
6,3.0,local_ridge_geometry,0.9968123882088488,0.9469447330021667,0.8675282714054927,0.0016155088852988,0.0121951219512195,32.0,0.25,0.5,0.75
7,3.0,global,0.9954011008989782,0.9380577432644108,0.9127625201938612,0.0161550888529886,0.1851851851851851,,,,
7,3.0,local_euclidean,0.994690001847719,0.9304984240973756,0.8675282714054927,0.0,0.0,32.0,0.25,0.5,0.75
7,3.0,local_ridge_geometry,0.9933068216884736,0.908328107357782,0.8352180936995154,0.0161550888529886,0.0980392156862745,128.0,0.0,0.75,1.0
8,3.0,global,0.9960308433876682,0.9510842244286478,0.9240710823909531,0.0193861066235864,0.2553191489361702,,,,
8,3.0,local_euclidean,0.994743725641952,0.934940363769917,0.864297253634895,0.0161550888529886,0.119047619047619,64.0,0.0,0.5,0.75
8,3.0,local_ridge_geometry,0.995332552658213,0.9380502548061476,0.8788368336025848,0.0193861066235864,0.16,64.0,0.0,0.5,0.75
9,3.0,global,0.9972768084698111,0.945453644399478,0.9111470113085622,0.0193861066235864,0.2181818181818181,,,,
9,3.0,local_euclidean,0.99626779734104,0.9271509752600102,0.877221324717286,0.0129240710823909,0.1052631578947368,32.0,0.0,0.75,0.75
9,3.0,local_ridge_geometry,0.9945814868991028,0.9199221543945753,0.8578352180936996,0.0161550888529886,0.1136363636363636,64.0,0.0,0.75,1.0
