rep,player,shapley_information,register_information_average,shapley_predictive,register_predictive_average
32,1,0.38463970156509186,0.3846397015650918,0.07327639025724983,0.07327639025724979
32,2,0.17645375384832587,0.1764537538483261,0.0031416359379813335,0.0031416359379813456
32,3,0.2959115727624187,0.29591157276241875,0.01850455222810881,0.01850455222810881
32,4,0.15940213515175505,0.15940213515175516,0.014507510484492317,0.014507510484492326
32,5,0.17527985685431252,0.17527985685431235,0.0035447348504101064,0.003544734850410112
32,6,0.24410689988639503,0.24410689988639506,0.003510335710071014,0.0035103357100710183
32,7,0.13243990764816782,0.1324399076481678,-0.00983677133221949,-0.009836771332219512
33,0,0.5282942003548186,0.5282942003548186,0.006258937633540931,0.006258937633540942
33,1,0.43155201436900403,0.4315520143690038,-0.01117721601466066,-0.011177216014660665
33,2,0.16198137353805256,0.16198137353805273,0.005193297820548958,0.005193297820548984
33,3,0.042613771430577194,0.0426137714305771,0.006586798364753062,0.006586798364753055
33,4,0.10989618330461903,0.10989618330461924,0.013301963160063494,0.013301963160063476
33,5,0.057885160281654295,0.05788516028165425,0.0030647217959387948,0.003064721795938786
33,6,0.04926592933235174,0.04926592933235164,0.0005222446861867915,0.0005222446861867778
33,7,0.32890153794069044,0.3289015379406904,0.001379293398127826,0.0013792933981278414
34,0,0.18020181837210578,0.1802018183721058,0.008651516250676155,0.00865151625067606
34,1,0.1078031856193767,0.10780318561937688,0.027365971247898302,0.027365971247898246
34,2,0.06080619522490974,0.06080619522490968,0.0032125734687714455,0.0032125734687713974
34,3,0.4247334382835692,0.4247334382835692,0.08989229118626306,0.08989229118626303
34,4,0.2521396725071059,0.25213967250710584,0.039028897908123236,0.03902889790812322
34,5,0.08296379234841057,0.08296379234841045,0.006814335252025899,0.006814335252025963
34,6,0.023873299234512955,0.023873299234512986,0.011294472476135605,0.01129447247613559
34,7,0.38972443303451515,0.38972443303451504,0.07293664544972814,0.07293664544972811
35,0,0.13983217717363997,0.13983217717364002,0.0025574318195745855,0.002557431819574559
35,1,0.2125255172266285,0.2125255172266286,-0.00042890932347942694,-0.0004289093234794239
35,2,0.002401023003861424,0.0024010230038614177,0.00019298210242577152,0.00019298210242575398
35,3,0.171443657053324,0.171443657053324,-0.00113930596037944,-0.0011393059603794487
35,4,0.11093599745000209,0.11093599745000224,0.006554572253527821,0.00655457225352782
35,5,0.06949261861120205,0.06949261861120218,-0.004667475091097441,-0.004667475091097447
35,6,0.23859494153126642,0.23859494153126648,0.00517346766077686,0.005173467660776857
35,7,0.2512506009124683,0.2512506009124683,0.025123672884985966,0.02512367288498596
36,0,0.02257902428235815,0.022579024282358237,0.0019005650978575859,0.0019005650978575982
36,1,0.032367653186581746,0.0323676531865818,0.001337351126140285,0.0013373511261402936
36,2,0.183883428138764,0.18388342813876413,0.004040243249119346,0.0040402432491193204
36,3,0.03752312358696182,0.03752312358696186,-8.73309027658472e-07,-8.733090276621938e-07
36,4,0.17143223833153154,0.17143223833153146,0.0005113470092625922,0.0005113470092626077
36,5,0.09086155461337807,0.09086155461337823,0.007357292505458593,0.0073572925054585835
36,6,0.11054566938843817,0.1105456693884382,-0.0003576066078031678,-0.0003576066078031778
36,7,0.06516247154449345,0.06516247154449362,-0.0009237943103040029,-0.0009237943103040066
37,0,0.16366372016039613,0.16366372016039607,0.0019602214378048152,0.0019602214378048035
37,1,0.08617046485602413,0.08617046485602434,0.0012106497013354668,0.0012106497013354618
37,2,0.22292356676729058,0.22292356676729067,-0.0010149389632390145,-0.0010149389632390237
37,3,0.12838148090470336,0.12838148090470328,-0.016190252166029376,-0.016190252166029432
37,4,0.20501793853579428,0.2050179385357944,0.0073873727947147885,0.007387372794714777
37,5,0.060883462883697795,0.060883462883697774,-0.0009081059200458139,-0.0009081059200458286
37,6,0.21417490819509483,0.2141749081950949,-0.013343461887053322,-0.013343461887053359
37,7,0.24927248701839394,0.24927248701839405,0.006187969078838054,0.006187969078838067
38,0,0.35897331054960885,0.3589733105496088,0.11115164478501893,0.11115164478501895
38,1,0.3247432983604339,0.32474329836043425,0.131336297824609,0.13133629782460896
38,2,0.14393349179877252,0.14393349179877254,0.04825366339561787,0.04825366339561793
38,3,0.07195422883095734,0.07195422883095734,0.0017803926945574988,0.0017803926945575222
38,4,0.10181206418179757,0.10181206418179777,0.03675547807314705,0.036755478073147115
38,5,0.30984544700684397,0.309845447006844,-0.0064376906237189,-0.006437690623719006
38,6,0.08064854244761155,0.08064854244761162,-0.003430590105530496,-0.0034305901055304874
38,7,0.09201429005586882,0.09201429005586893,0.13074702638540914,0.13074702638540914
39,0,0.08023970643479406,0.08023970643479408,-0.0036598630586912382,-0.003659863058691127
39,1,0.11306676665239397,0.11306676665239372,-0.004005417117402219,-0.004005417117402184
39,2,0.12594868987905294,0.12594868987905272,0.08627602011010985,0.08627602011010986
39,3,0.07633769849189308,0.07633769849189308,0.012857233017553543,0.01285723301755347
39,4,0.20626897636139338,0.2062689763613934,0.009066269160805208,0.00906626916080519
39,5,0.14414206524829012,0.14414206524829004,0.030178040617874633,0.030178040617874564
39,6,0.22475924241833337,0.22475924241833362,0.011718810458067719,0.011718810458067688
39,7,0.2926090447725648,0.2926090447725648,0.04150300041752751,0.041503000417527455
