seed,family,rank,q,ky,nominal_ratio,ridge_rmse,rmse,alpha,kx,scale
7404,bgr,3,0.95,3.0,1.0181262890398453,0.6349563172330958,0.6464657189669385,0.03162277660168379,6.55403324303565,0.6323879601837529
7404,bgr,4,0.975,3.0,1.0005769423303017,0.6349563172330958,0.6353226504104,0.03162277660168379,8.330213821280564,0.6323879601837529
7404,bgr,5,0.99,4.0,1.0000174406005047,0.6349563172330958,0.6349673912525625,0.03162277660168379,8.73617296376051,0.6323879601837529
7404,bgr,6,1.0,6.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,8.772425304551387,0.6323879601837529
7404,schweppe_type,0,0.9,1.5,1.0915784356604317,0.6349563172330958,0.6931046234780115,0.03162277660168379,3.838885546000828,0.6323879601837529
7404,schweppe_type,1,0.9,2.0,1.055983418989976,0.6349563172330958,0.6705033427810883,0.03162277660168379,3.838885546000828,0.6323879601837529
7404,schweppe_type,2,0.95,2.0,1.0014933191459356,0.6349563172330958,0.6359045096584527,0.03162277660168379,6.55403324303565,0.6323879601837529
7404,schweppe_type,3,0.95,3.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,6.55403324303565,0.6323879601837529
7404,schweppe_type,4,0.975,3.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,8.330213821280564,0.6323879601837529
7404,schweppe_type,5,0.99,4.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,8.73617296376051,0.6323879601837529
7404,schweppe_type,6,1.0,6.0,1.0,0.6349563172330958,0.6349563172330958,0.03162277660168379,8.772425304551387,0.6323879601837529
7505,huber,0,1.0,1.5,0.9856208103005702,0.6957298124756799,0.6857257815225434,1.0,inf,0.6966446843303501
7505,huber,1,1.0,2.0,0.992961483455779,0.6957298124756799,0.690832906680262,1.0,inf,0.6966446843303501
7505,huber,2,1.0,3.0,1.0,0.6957298124756799,0.6957298124756799,1.0,inf,0.6966446843303501
7505,huber,3,1.0,4.0,1.0,0.6957298124756799,0.6957298124756799,1.0,inf,0.6966446843303501
7505,huber,4,1.0,6.0,1.0,0.6957298124756799,0.6957298124756799,1.0,inf,0.6966446843303501
7505,geometry,0,0.9,1000000000.0,1.0307073690693143,0.6957298124756799,0.7170938445998954,1.0,3.9052034134174396,0.6966446843303501
7505,geometry,1,0.95,1000000000.0,1.0018199626457651,0.6957298124756799,0.6969960147459308,1.0,6.798828528804464,0.6966446843303501
7505,geometry,2,0.975,1000000000.0,0.9995776727632715,0.6957298124756799,0.6954359868264673,1.0,8.236409068155979,0.6966446843303501
7505,geometry,3,0.99,1000000000.0,0.9999598322654869,0.6957298124756799,0.6957018665852795,1.0,8.720900387145486,0.6966446843303501
7505,geometry,4,1.0,1000000000.0,1.0,0.6957298124756799,0.6957298124756799,1.0,8.808490009566322,0.6966446843303501
