seed,scenario,level,method,rmse,delta_rmse,rmse_all,delta_rmse_all,mean_corrupt_weight,mean_corrupt_leverage_factor,irls_iterations,alpha,kappa_x,q_geometry,kappa_y,scale
1404,mixed_amplitude,50.0,huber,0.4024968805832897,0.1449085666551724,0.4061375516244823,0.1459243426462609,0.2427568626490255,,,,,,,
1404,mixed_amplitude,50.0,geometry,0.2658103391019676,0.0105330072577829,0.3148822420079062,0.0590395714669682,0.0040298316462607,,,,,,,
1404,mixed_amplitude,50.0,bgr,0.2575681913770204,-0.0004316909379145,0.2592625612709354,0.0003994709054245,0.0003297401658055,,,,,,,
1404,gaussian_noise,0.4,ridge,0.2807173726416037,0.0257831970203228,0.2841777253531126,0.0268772239706115,1.0,,,,,,,
1404,gaussian_noise,0.4,huber,0.2877829545096934,0.0301946405815761,0.2881481398626252,0.0279349308844037,0.9230719914322192,,,,,,,
1404,gaussian_noise,0.4,geometry,0.280630818447271,0.0253534866030863,0.2839593503961077,0.0281166798551697,0.9919935443717348,,,,,,,
1404,gaussian_noise,0.4,bgr,0.2881951844604799,0.0301953021455449,0.2895767967667194,0.0307137064012084,0.9157435484480596,,,,,,,
1505,nominal_raw,0.0,ridge,0.2570631241096188,0.0,0.2570631241096188,0.0,,,,,,,,
1505,nominal_raw,0.0,huber,0.2583115476940414,0.0,0.2583115476940414,0.0,,,,,,,,
1505,nominal_raw,0.0,geometry,0.2566526382120236,0.0,0.2566526382120236,0.0,,,,,,,,
1505,nominal_raw,0.0,bgr,0.257662839486567,0.0,0.257662839486567,0.0,,,,,,,,
1505,vertical_amplitude,4.0,ridge,0.3242320635480382,0.0671689394384194,0.3242320635480382,0.0671689394384194,1.0,,,,,,,
1505,vertical_amplitude,4.0,huber,0.2600345803555048,0.0017230326614633,0.2600345803555048,0.0017230326614633,0.0922427132900492,,,,,,,
1505,vertical_amplitude,4.0,geometry,0.3247660598400631,0.0681134216280395,0.3247660598400631,0.0681134216280395,0.988346111034686,,,,,,,
1505,vertical_amplitude,4.0,bgr,0.2593014396293261,0.0016386001427591,0.2593014396293261,0.0016386001427591,0.0911573766781463,,,,,,,
1505,leverage_amplitude,50.0,ridge,0.3946929481573292,0.1376298240477104,0.3946929481573292,0.1376298240477104,1.0,,,,,,,
1505,leverage_amplitude,50.0,huber,0.3488034583727951,0.0904919106787536,0.3488034583727951,0.0904919106787536,0.79737066647921,,,,,,,
1505,leverage_amplitude,50.0,geometry,0.2654077277327514,0.0087550895207277,0.2654077277327514,0.0087550895207277,0.0055527356144943,,,,,,,
1505,leverage_amplitude,50.0,bgr,0.2584369361618604,0.0007740966752934,0.2584369361618604,0.0007740966752934,0.002762446251293,,,,,,,
1505,mixed_amplitude,50.0,ridge,0.4222908568063895,0.1652277326967707,0.4222908568063895,0.1652277326967707,1.0,,,,,,,
1505,mixed_amplitude,50.0,huber,0.3071790302510416,0.0488674825570002,0.3071790302510416,0.0488674825570002,0.4180142704585583,,,,,,,
1505,mixed_amplitude,50.0,geometry,0.2659205671180729,0.0092679289060492,0.2659205671180729,0.0092679289060492,0.0055527356144943,,,,,,,
1505,mixed_amplitude,50.0,bgr,0.258398777699508,0.000735938212941,0.258398777699508,0.000735938212941,0.0005202382547495,,,,,,,
1505,gaussian_noise,0.4,ridge,0.2859815663167852,0.0289184422071663,0.2859815663167852,0.0289184422071663,1.0,,,,,,,
1505,gaussian_noise,0.4,huber,0.288510589553945,0.0301990418599035,0.288510589553945,0.0301990418599035,0.9463749738963904,,,,,,,
1505,gaussian_noise,0.4,geometry,0.2870872675307812,0.0304346293187575,0.2870872675307812,0.0304346293187575,0.9679868861821136,,,,,,,
1505,gaussian_noise,0.4,bgr,0.2896752729084106,0.0320124334218436,0.2896752729084106,0.0320124334218436,0.9152203580890932,,,,,,,
1606,nominal_raw,0.0,ridge,0.2584743372928017,0.0,0.2584743372928017,0.0,,,,,,,,
1606,nominal_raw,0.0,huber,0.2585082875492387,0.0,0.2585082875492387,0.0,,,,,,,,
1606,nominal_raw,0.0,geometry,0.2577301169398285,0.0,0.2577301169398285,0.0,,,,,,,,
1606,nominal_raw,0.0,bgr,0.2582111398945499,0.0,0.2582111398945499,0.0,,,,,,,,
1606,vertical_amplitude,4.0,ridge,0.3116612331024267,0.0531868958096249,0.3116612331024267,0.0531868958096249,1.0,,,,,,,
1606,vertical_amplitude,4.0,huber,0.2598741079568258,0.001365820407587,0.2598741079568258,0.001365820407587,0.0905816024674415,,,,,,,
1606,vertical_amplitude,4.0,geometry,0.3133785211067273,0.0556484041668987,0.3133785211067273,0.0556484041668987,0.996185794794228,,,,,,,
1606,vertical_amplitude,4.0,bgr,0.2596583079688409,0.0014471680742909,0.2596583079688409,0.0014471680742909,0.0902510467923529,,,,,,,
1606,leverage_amplitude,50.0,ridge,0.4281099606670147,0.1696356233742129,0.4281099606670147,0.1696356233742129,1.0,,,,,,,
1606,leverage_amplitude,50.0,huber,0.3886744296665927,0.1301661421173539,0.3886744296665927,0.1301661421173539,0.8376996805444538,,,,,,,
1606,leverage_amplitude,50.0,geometry,0.292187213688903,0.0344570967490744,0.292187213688903,0.0344570967490744,0.0054516774990456,,,,,,,
1606,leverage_amplitude,50.0,bgr,0.2582243095489689,1.3169654418998531e-05,0.2582243095489689,1.3169654418998531e-05,0.0021144643364774,,,,,,,
1606,mixed_amplitude,50.0,ridge,0.4733514327679878,0.214877095475186,0.4733514327679878,0.214877095475186,1.0,,,,,,,
1606,mixed_amplitude,50.0,huber,0.3719696883019183,0.1134614007526795,0.3719696883019183,0.1134614007526795,0.3438909520912976,,,,,,,
1606,mixed_amplitude,50.0,geometry,0.2926942287355554,0.0349641117957268,0.2926942287355554,0.0349641117957268,0.0054516774990456,,,,,,,
1606,mixed_amplitude,50.0,bgr,0.2586286981847988,0.0004175582902488,0.2586286981847988,0.0004175582902488,0.0004441077870082,,,,,,,
1606,gaussian_noise,0.4,ridge,0.2689930285631143,0.0105186912703126,0.2689930285631143,0.0105186912703126,1.0,,,,,,,
1606,gaussian_noise,0.4,huber,0.2753681338895957,0.0168598463403569,0.2753681338895957,0.0168598463403569,0.9178270044291752,,,,,,,
1606,gaussian_noise,0.4,geometry,0.2689078670211123,0.0111777500812838,0.2689078670211123,0.0111777500812838,0.9788425937586664,,,,,,,
1606,gaussian_noise,0.4,bgr,0.2753824469129479,0.0171713070183979,0.2753824469129479,0.0171713070183979,0.8973916532209076,,,,,,,
1707,nominal_raw,0.0,ridge,0.2685331810565836,0.0,0.2683765350921468,0.0,,,,,,,,
1707,nominal_raw,0.0,huber,0.2708106455238054,0.0,0.270687335820986,0.0,,,,,,,,
1707,nominal_raw,0.0,geometry,0.2689048734836086,0.0,0.2686862706856421,0.0,,,,,,,,
1707,nominal_raw,0.0,bgr,0.2715987086856214,0.0,0.271390297002328,0.0,,,,,,,,
1707,vertical_amplitude,4.0,ridge,0.3186614595403443,0.0501282784837607,0.3246334497865584,0.0562569146944115,1.0,,,,,,,
1707,vertical_amplitude,4.0,huber,0.271779789049318,0.0009691435255125,0.2716193870968335,0.0009320512758474,0.0910558747930545,,,,,,,
1707,vertical_amplitude,4.0,geometry,0.3204747967796396,0.0515699232960309,0.320336622058772,0.0516503513731299,0.9870186810171104,,,,,,,
1707,vertical_amplitude,4.0,bgr,0.2721964581734938,0.0005977494878723,0.2719800964361032,0.0005897994337752,0.0898011105715853,,,,,,,
1707,leverage_amplitude,50.0,ridge,0.4064725491713684,0.1379393681147847,0.4061759855457357,0.1377994504535889,1.0,,,,,,,
1707,leverage_amplitude,50.0,huber,0.3896445159237977,0.1188338703999922,0.3893846094820949,0.1186972736611089,0.7844125569747592,,,,,,,
1707,leverage_amplitude,50.0,geometry,0.2771699822838041,0.0082651088001954,0.2776028099501616,0.0089165392645195,0.0051001960679915,,,,,,,
1707,leverage_amplitude,50.0,bgr,0.2713101629321048,-0.0002885457535166,0.2712540294037177,-0.0001362675986102,0.0024602232369167,,,,,,,
1707,mixed_amplitude,50.0,ridge,0.4796930151025665,0.2111598340459829,0.479314617943714,0.2109380828515671,1.0,,,,,,,
1707,mixed_amplitude,50.0,huber,0.3469175128979548,0.0761068673741493,0.3480177366661318,0.0773304008451457,0.3064272428986517,,,,,,,
1707,mixed_amplitude,50.0,geometry,0.2785954204930043,0.0096905470093957,0.2792705456352353,0.0105842749495932,0.0051001960679915,,,,,,,
1707,mixed_amplitude,50.0,bgr,0.2719154043201324,0.0003166956345109,0.2716969806375228,0.0003066836351948,0.0004268042400098,,,,,,,
1707,gaussian_noise,0.4,ridge,0.3142471394284092,0.0457139583718256,0.3142631099279545,0.0458865748358077,1.0,,,,,,,
1707,gaussian_noise,0.4,huber,0.3188887011516207,0.0480780556278153,0.3192550781601425,0.0485677423391564,0.9381127529766146,,,,,,,
1707,gaussian_noise,0.4,geometry,0.3124817108557515,0.0435768373721429,0.3122687076987196,0.0435824370130775,0.9718822390412368,,,,,,,
1707,gaussian_noise,0.4,bgr,0.3193166494345828,0.0477179407489613,0.3190560366648245,0.0476657396624965,0.911268677079834,,,,,,,
1808,nominal_raw,0.0,ridge,0.2523872333070195,0.0,0.2523872333070195,0.0,,,,,,,,
1808,nominal_raw,0.0,huber,0.2508893986797268,0.0,0.2508893986797268,0.0,,,,,,,,
1808,nominal_raw,0.0,geometry,0.2521497860144628,0.0,0.2521497860144628,0.0,,,,,,,,
1808,nominal_raw,0.0,bgr,0.2506767750656659,0.0,0.2506767750656659,0.0,,,,,,,,
1808,vertical_amplitude,4.0,ridge,0.3125084951926436,0.0601212618856241,0.3125084951926436,0.0601212618856241,1.0,,,,,,,
1808,vertical_amplitude,4.0,huber,0.2517318576843958,0.000842459004669,0.2517318576843958,0.000842459004669,0.0898582094000378,,,,,,,
1808,vertical_amplitude,4.0,geometry,0.3136654272223554,0.0615156412078926,0.3136654272223554,0.0615156412078926,0.9881177684752568,,,,,,,
1808,vertical_amplitude,4.0,bgr,0.2515800864596181,0.0009033113939522,0.2515800864596181,0.0009033113939522,0.0888599286095352,,,,,,,
1808,leverage_amplitude,50.0,ridge,0.3980025416980013,0.1456153083909818,0.3980025416980013,0.1456153083909818,1.0,,,,,,,
1808,leverage_amplitude,50.0,huber,0.3367336973353672,0.0858442986556403,0.3367336973353672,0.0858442986556403,0.858862011383502,,,,,,,
1808,leverage_amplitude,50.0,geometry,0.2726810074626505,0.0205312214481876,0.2726810074626505,0.0205312214481876,0.0052238057173277,,,,,,,
1808,leverage_amplitude,50.0,bgr,0.2510201977672784,0.0003434227016125,0.2510201977672784,0.0003434227016125,0.0022859903076388,,,,,,,
1808,mixed_amplitude,50.0,ridge,0.4323344645539629,0.1799472312469434,0.4323344645539629,0.1799472312469434,1.0,,,,,,,
