seed,scenario,level,method,rmse,delta_rmse,mean_corrupt_geom_weight,mean_corrupt_resid_weight,mean_corrupt_combined_weight
8808,vertical,4.0,schweppe_type,0.6410268310422175,0.021453964593848296,0.9194704567268757,0.454310549824858,0.42922480170899074
8808,leverage,50.0,schweppe_type,0.63596749129905,0.016394624850680772,0.004738909628046112,0.3056731641769784,0.11561656455282494
8808,mixed,50.0,schweppe_type,0.6292323985506023,0.009659532102233137,0.004738909628046112,0.35471234448952066,0.10346288452499333
8808,gaussian,0.4,schweppe_type,0.6265145481387727,0.006941681690403545,0.9791149370459281,0.9953076370364415,0.988195507231922
8808,nominal,0.0,bgr,0.582848841924382,0.0,,,
8808,vertical,4.0,bgr,0.588465335243842,0.005616493319460014,0.995826447858965,0.6009694321781558,0.5979561870250679
8808,leverage,50.0,bgr,0.5968010730208201,0.013952231096438061,0.01921859512554311,0.2874163728328355,0.0055245502730567305
8808,mixed,50.0,bgr,0.5938409608425511,0.010992118918169091,0.01921859512554311,0.3599534379474261,0.006909008038358802
8808,gaussian,0.4,bgr,0.5826326716908666,-0.00021617023351538922,0.9994421848299752,0.9998707488766513,0.9993129337066263
8909,nominal,0.0,ridge,0.6444482867563205,0.0,,,
8909,vertical,4.0,ridge,0.6422424210785487,-0.002205865677771812,1.0,1.0,1.0
8909,leverage,50.0,ridge,0.9696963682165877,0.3252480814602672,1.0,1.0,1.0
8909,mixed,50.0,ridge,0.9502693084710544,0.3058210217147339,1.0,1.0,1.0
8909,gaussian,0.4,ridge,0.6432071668089155,-0.001241119947404945,1.0,1.0,1.0
8909,nominal,0.0,huber,0.6605153252783921,0.0,,,
8909,vertical,4.0,huber,0.6522425602063565,-0.00827276507203556,1.0,0.27793560716997,0.27793560716997
8909,leverage,50.0,huber,0.9525366728769293,0.29202134759853726,1.0,0.9089086422386887,0.9089086422386887
8909,mixed,50.0,huber,0.8970518304521634,0.23653650517377134,1.0,0.6538102195955718,0.6538102195955718
8909,gaussian,0.4,huber,0.6527943556689713,-0.0077209696094208136,1.0,0.9734193550310395,0.9734193550310395
8909,nominal,0.0,geometry,0.652283123165533,0.0,,,
8909,vertical,4.0,geometry,0.6494109836461969,-0.002872139519336181,1.0,1.0,1.0
8909,leverage,50.0,geometry,0.7090835487697356,0.05680042560420251,0.01330404009711501,1.0,0.01330404009711501
8909,mixed,50.0,geometry,0.7073403154638399,0.055057192298306856,0.01330404009711501,1.0,0.01330404009711501
8909,gaussian,0.4,geometry,0.6493862233910687,-0.00289689977446439,0.9970096181428152,1.0,0.9970096181428152
8909,nominal,0.0,schweppe_type,0.6704747028446361,0.0,,,
8909,vertical,4.0,schweppe_type,0.658584281702661,-0.011890421141975027,0.9943771770026395,0.4177938451564046,0.41646507119053583
8909,leverage,50.0,schweppe_type,0.6956509253782158,0.025176222533579762,0.005249436117900476,0.4086640883634143,0.10268288697749077
8909,mixed,50.0,schweppe_type,0.6937106621854758,0.023235959340839774,0.005249436117900476,0.41009861163396605,0.07347138357411531
8909,gaussian,0.4,schweppe_type,0.6631098788108082,-0.007364824033827877,0.9805805047157556,0.9960288390369031,0.990640085949311
8909,nominal,0.0,bgr,0.6537885094309819,0.0,,,
8909,vertical,4.0,bgr,0.6471958928792796,-0.0065926165517022906,1.0,0.561445680168734,0.561445680168734
8909,leverage,50.0,bgr,0.6567380780191041,0.002949568588122231,0.01330404009711501,0.2948418444552571,0.003937209573843755
8909,mixed,50.0,bgr,0.6562846415882572,0.002496132157275288,0.01330404009711501,0.26281747027990177,0.003491407552149999
8909,gaussian,0.4,bgr,0.6503225725144003,-0.003465936916581591,0.9970096181428152,0.9996910875362092,0.9968034890568015
9010,nominal,0.0,ridge,0.5934452281699801,0.0,,,
9010,vertical,4.0,ridge,0.5946395836366158,0.0011943554666357103,1.0,1.0,1.0
9010,leverage,50.0,ridge,0.9988592180000576,0.4054139898300775,1.0,1.0,1.0
9010,mixed,50.0,ridge,1.0107163198935356,0.4172710917235555,1.0,1.0,1.0
9010,gaussian,0.4,ridge,0.6005142781194976,0.007069049949517514,1.0,1.0,1.0
9010,nominal,0.0,huber,0.5914679155984772,0.0,,,
9010,vertical,4.0,huber,0.584593134897435,-0.0068747807010421935,1.0,0.29218739194731885,0.29218739194731885
9010,leverage,50.0,huber,0.994103943871218,0.4026360282727408,1.0,0.9468706415222039,0.9468706415222039
9010,mixed,50.0,huber,0.9096617545684725,0.3181938389699953,1.0,0.6277316267910563,0.6277316267910563
9010,gaussian,0.4,huber,0.600090907944213,0.008622992345735825,1.0,0.9728051546562274,0.9728051546562274
9010,nominal,0.0,geometry,0.5931815064898198,0.0,,,
9010,vertical,4.0,geometry,0.5942818334493647,0.0011003269595448728,0.9979719421506871,1.0,0.9979719421506871
9010,leverage,50.0,geometry,0.7072750472905053,0.11409354080068546,0.020057787695863444,1.0,0.020057787695863444
9010,mixed,50.0,geometry,0.70866104443855,0.11547953794873023,0.020057787695863444,1.0,0.020057787695863444
9010,gaussian,0.4,geometry,0.6002766260526847,0.007095119562864904,0.9992847599365386,1.0,0.9992847599365386
9010,nominal,0.0,schweppe_type,0.5916277721808297,0.0,,,
9010,vertical,4.0,schweppe_type,0.5847841624266462,-0.006843609754183522,0.9682967001027013,0.4397284359370223,0.43243956468119565
9010,leverage,50.0,schweppe_type,0.6368774189609865,0.04524964678015675,0.005754748076927833,0.2712189230389628,0.10811935684053307
9010,mixed,50.0,schweppe_type,0.6363266782764703,0.044698906095640534,0.005754748076927833,0.24896940272089269,0.04157099104107405
9010,gaussian,0.4,schweppe_type,0.5988873751515764,0.007259602970746681,0.9782740986522094,0.9963102270907565,0.9909341512903542
9010,nominal,0.0,bgr,0.5931815064898198,0.0,,,
9010,vertical,4.0,bgr,0.5864522077340755,-0.006729298755744351,0.9979719421506871,0.5855283089981029,0.5845003404918843
9010,leverage,50.0,bgr,0.6031013807987876,0.009919874308967791,0.020057787695863444,0.238043104734426,0.00480127475706457
9010,mixed,50.0,bgr,0.6035018073285796,0.010320300838759788,0.020057787695863444,0.26847902148819336,0.005413369481437571
9010,gaussian,0.4,bgr,0.6001663829254836,0.0069848764356638116,0.9992847599365386,0.9997296733389359,0.9990144332754745
