seed,corruption_magnitude,group,count,median_information,median_abs_global_surprise,median_abs_local_surprise,median_global_influence,median_local_influence,mean_global_weight,mean_local_weight,median_local_radius_ratio
16,1.5,rare_clean,619,0.0008844252035307,0.8981866993929443,0.7683905943417628,0.0013851716726896,0.0011453981530915,0.9795626212596498,0.9874718546151354,2.654405939892096
16,1.5,duplicate_group,2476,0.0001671238556987,0.7506769010528564,0.6938312369531725,0.0001811586137787,0.0001521144272292,0.99093152123447,0.9933699364947038,0.9207808024978272
16,1.5,corrupted,619,0.0001859156000059,3.3337696441525035,4.4168330409829215,0.0042938531159146,0.0074376384862462,0.8505091038557555,0.7015054734874269,1.0056203291329324
17,1.5,ordinary_clean,10527,0.0001870903688022,0.7081210135570339,0.6457631649921629,0.0001754647935686,0.0001496655992535,0.9929444925423712,0.9945160219019032,1.0055499504087235
17,1.5,rare_clean,619,0.0008571493076895,0.9001790758507335,0.7966744565779882,0.0014723931650046,0.0011503133828064,0.978731922525438,0.986199400879956,2.674280492734436
17,1.5,duplicate_group,2476,0.0001628230405884,0.6670126006024168,0.602196362586024,0.000143062464726,0.0001164282379052,0.9929832246795396,0.9966666121517036,0.9153059077196136
17,1.5,corrupted,619,0.000187011352733,3.463225678089179,3.819780608829468,0.0043205846133379,0.0053910309034016,0.8405377489513041,0.7860583347375203,1.000809798041983
18,1.5,ordinary_clean,10527,0.000186875973539,0.7126695910610921,0.6310560100845674,0.0001814770952033,0.0001484284087456,0.9932088985951651,0.9956658052405796,1.0034972252108358
18,1.5,rare_clean,619,0.0008575809460581,0.9367407617057326,0.7561616069774526,0.0014849064337438,0.0010945435942569,0.97825515834195,0.9927568879901816,2.7080386150406364
18,1.5,duplicate_group,2476,0.0001586046803815,0.7268479668765087,0.6810935989047544,0.0001506172734174,0.0001391353655405,0.9913705213679812,0.9965718765752436,0.9128178139645662
18,1.5,corrupted,619,0.0001916988177059,3.3710219942080246,3.6278918699486735,0.0042104594980745,0.0047951911097958,0.8523831018035078,0.7844888438375088,1.0204117358406697
19,1.5,ordinary_clean,10527,0.0001861898323652,0.7039609376226649,0.6900846318869012,0.0001737103106948,0.0001774393739005,0.9924996820276344,0.9916686709317588,1.0057566242990577
19,1.5,rare_clean,619,0.0009310331137373,0.87296274539902,0.4255455689582882,0.0014439725629594,0.0004228634218447,0.978037873710064,0.9983062169166376,2.7208381970012976
19,1.5,duplicate_group,2476,0.0001625693401072,0.782862222978984,0.7379699061716245,0.0001741984638904,0.0001736145616659,0.9910881776433732,0.9909587818162922,0.907893439547371
19,1.5,corrupted,619,0.0001861459727886,3.373625189533964,4.575126789555251,0.0042393437299004,0.0082172090775497,0.8477459301271573,0.6723093242998128,1.0050507052936082
2,1.5,ordinary_clean,10527,0.0001907841297428,0.6995203963717184,0.6801357788704896,0.0001726946468685,0.0001707150719433,0.9937817153511131,0.9927064530897703,0.999141696555059
2,1.5,rare_clean,619,0.0008848046173108,0.9349635206012402,0.7656595944701537,0.0015176367078621,0.0011784172797273,0.9815539898391366,0.9902983944017044,2.705948159742993
2,1.5,duplicate_group,2476,0.0001666206280738,0.7390479367756637,0.6891600754030583,0.0001761897664183,0.0001440656134816,0.9921301592789136,0.9960444729969616,0.9211999132623792
2,1.5,corrupted,619,0.0001897364768243,3.2729217576844274,4.203126661313572,0.0041261371906609,0.0067026984310662,0.8602272788626176,0.7177929412782982,1.0153718433525132
3,1.5,ordinary_clean,10527,0.0001926403856974,0.7018686086991197,0.6981266680669519,0.000177519817405,0.00018283219847,0.9928932915134108,0.9932729783301192,0.9995102084598412
3,1.5,rare_clean,619,0.0009080762596484,0.883880401906791,0.4381311333779249,0.0014710918677534,0.0004525216796085,0.9801849548559588,0.9986963446989856,2.78010897584268
3,1.5,duplicate_group,2476,0.0001691936262403,0.7258950906227847,0.6780448657724288,0.0001615196957466,0.0001511649954462,0.9947751519021788,0.9943884876671372,0.9288457102080798
3,1.5,corrupted,619,0.0001895076266137,3.3586398490349,4.143661061463608,0.004209011229031,0.0065251601862332,0.8489804970095197,0.7425711790846931,1.0060135077459849
4,1.5,ordinary_clean,10527,0.0001752340629431,0.7211144885924583,0.671558236261842,0.000173811121462,0.0001557877773945,0.991983753626188,0.993695912072216,1.0023036947629946
4,1.5,rare_clean,619,0.0008076538050493,0.7233285424784993,0.3692003517584519,0.0009788780845338,0.0002792891963879,0.9836375046290616,0.9987755015392754,2.6883431578870685
4,1.5,duplicate_group,2476,0.0001586337923689,0.7093173202841558,0.6655891888816056,0.0001524052786596,0.0001418286841511,0.9949562062473034,0.996597265316114,0.917781862086881
4,1.5,corrupted,619,0.0001824407939316,3.40691597424138,4.03662881287662,0.0040062399454766,0.0061125752384147,0.8488351203801408,0.7547836559202669,1.0101145269100913
5,1.5,ordinary_clean,10527,0.0001881098746694,0.7025507669454089,0.6939608080507091,0.0001739389435147,0.0001784154260615,0.9931069577255064,0.9934127462282196,1.008483180396842
5,1.5,rare_clean,619,0.0008909005965468,0.8256103204478717,0.7632218198565585,0.0012895397252036,0.0010679517023754,0.98026648635221,0.9845323630403144,2.7278435823263023
5,1.5,duplicate_group,2476,0.0001584204605282,0.7260159868363095,0.7002009080537603,0.0001612385854019,0.0001444638149233,0.9933880758005276,0.995595403918447,0.8979043697623824
5,1.5,corrupted,619,0.0001827230943594,3.406011527167464,4.309317080757132,0.0041718570795813,0.0066093074467425,0.8441912092065547,0.7197391525377469,0.974242398763502
