seed,family,variant,scenario,rmse,delta_rmse,kappa_x,kappa_y,scale,mean_corrupt_weight
1303,kappa_x,pi_weighted,vertical,0.2718051775949308,0.0003436351276537297,3.4259390183854284,2.0,0.1676559646166742,0.08348719361204672
1303,kappa_x,pi_weighted,leverage,0.27117310700768255,-0.0002884354595945049,3.4259390183854284,2.0,0.1676559646166742,0.0022212146941512885
1303,kappa_x,pi_weighted,mixed,0.2710011171899381,-0.00046042527733897165,3.4259390183854284,2.0,0.1676559646166742,0.0003639670201083183
1404,huber_scale,huber_pure,nominal,0.260100508855381,0.0,inf,1.5,0.17574940554734628,
1404,huber_scale,huber_pure,vertical,0.26030050006361216,0.000199991208231165,inf,1.5,0.17574940554734628,0.06675493273955223
1404,huber_scale,huber_geometry_anchored_scale,nominal,0.25758367178560465,0.0,inf,2.0,0.17516022971827042,
1404,huber_scale,huber_geometry_anchored_scale,vertical,0.25826331744636327,0.000679645660758621,inf,2.0,0.17516022971827042,0.08881319119363686
1404,kappa_x,line,nominal,0.25799441988124244,0.0,3.1797529976362253,2.0,0.17516022971827042,
1404,kappa_x,line,vertical,0.2586275241543422,0.0006331042730997605,3.1797529976362253,2.0,0.17516022971827042,0.08862555514891632
1404,kappa_x,line,leverage,0.2574570210692203,-0.0005373988120221385,3.1797529976362253,2.0,0.17516022971827042,0.001915278707206949
1404,kappa_x,line,mixed,0.2575624142394171,-0.0004320056418253282,3.1797529976362253,2.0,0.17516022971827042,0.00032974016580552645
1404,kappa_x,per_id,nominal,0.2581663978322085,0.0,3.070530864531256,2.0,0.17592457691520086,
1404,kappa_x,per_id,vertical,0.2587913001643126,0.0006249023321041047,3.070530864531256,2.0,0.17592457691520086,0.08863041343204786
1404,kappa_x,per_id,leverage,0.25763692665081467,-0.000529471181393848,3.070530864531256,2.0,0.17592457691520086,0.0017777463252325338
1404,kappa_x,per_id,mixed,0.2577399654800387,-0.00042643235216982545,3.070530864531256,2.0,0.17592457691520086,0.0003100997734287619
1404,kappa_x,pi_weighted,nominal,0.2581663978322085,0.0,3.070530864531256,2.0,0.17592457691520086,
1404,kappa_x,pi_weighted,vertical,0.2587913001643126,0.0006249023321041047,3.070530864531256,2.0,0.17592457691520086,0.08863041343204786
1404,kappa_x,pi_weighted,leverage,0.25763692665081467,-0.000529471181393848,3.070530864531256,2.0,0.17592457691520086,0.0017777463252325338
1404,kappa_x,pi_weighted,mixed,0.2577399654800387,-0.00042643235216982545,3.070530864531256,2.0,0.17592457691520086,0.0003100997734287619
1505,huber_scale,huber_pure,nominal,0.25952330039469595,0.0,inf,1.5,0.18431816107056978,
1505,huber_scale,huber_pure,vertical,0.26106713326999637,0.0015438328753004105,inf,1.5,0.18431816107056978,0.0693366738787936
1505,huber_scale,huber_geometry_anchored_scale,nominal,0.2583115476940414,0.0,inf,2.0,0.18374176192431196,
1505,huber_scale,huber_geometry_anchored_scale,vertical,0.2600345803555048,0.0017230326614633973,inf,2.0,0.18374176192431196,0.09224271329004925
1505,kappa_x,line,nominal,0.257662839486567,0.0,3.7263716419828947,2.0,0.18374176192431196,
1505,kappa_x,line,vertical,0.25930143962932617,0.0016386001427591834,3.7263716419828947,2.0,0.18374176192431196,0.09115737667814633
1505,kappa_x,line,leverage,0.2584369361618604,0.0007740966752934342,3.7263716419828947,2.0,0.18374176192431196,0.002762446251293096
1505,kappa_x,line,mixed,0.258398777699508,0.0007359382129409897,3.7263716419828947,2.0,0.18374176192431196,0.0005202382547495021
1505,kappa_x,per_id,nominal,0.25749745682567104,0.0,3.4567443917830336,2.0,0.1817555035032236,
1505,kappa_x,per_id,vertical,0.2591008003121775,0.001603343486506481,3.4567443917830336,2.0,0.1817555035032236,0.08937115812328607
1505,kappa_x,per_id,leverage,0.2582530196516578,0.0007555628259867664,3.4567443917830336,2.0,0.1817555035032236,0.0023312441538370678
1505,kappa_x,per_id,mixed,0.2582398811747678,0.0007424243490967708,3.4567443917830336,2.0,0.1817555035032236,0.0004397287793921322
1505,kappa_x,pi_weighted,nominal,0.25749745682567104,0.0,3.4567443917830336,2.0,0.1817555035032236,
1505,kappa_x,pi_weighted,vertical,0.2591008003121775,0.001603343486506481,3.4567443917830336,2.0,0.1817555035032236,0.08937115812328607
1505,kappa_x,pi_weighted,leverage,0.2582530196516578,0.0007555628259867664,3.4567443917830336,2.0,0.1817555035032236,0.0023312441538370678
1505,kappa_x,pi_weighted,mixed,0.2582398811747678,0.0007424243490967708,3.4567443917830336,2.0,0.1817555035032236,0.0004397287793921322
